ts,container,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-01-04T00:42:08-05:00,basic-frontend-1,0.00%,10.6MiB / 7.659GiB,0.14%,2.53kB / 1.06kB,6.92MB / 4.1kB,13
2026-01-04T00:42:08-05:00,basic-backend-1,0.00%,26.9MiB / 7.659GiB,0.34%,2.52kB / 769B,54.6MB / 4.1kB,23
2026-01-04T00:42:08-05:00,basic-kernel-1,0.09%,45.82MiB / 7.659GiB,0.58%,2.69kB / 627B,47.3MB / 0B,17
2026-01-04T00:43:11-05:00,basic-frontend-1,0.00%,10.6MiB / 7.659GiB,0.14%,2.53kB / 1.06kB,6.92MB / 4.1kB,13
2026-01-04T00:43:11-05:00,basic-backend-1,0.00%,26.9MiB / 7.659GiB,0.34%,2.52kB / 769B,54.6MB / 4.1kB,23
2026-01-04T00:43:11-05:00,basic-kernel-1,0.08%,45.82MiB / 7.659GiB,0.58%,2.69kB / 627B,47.3MB / 0B,17
2026-01-04T00:44:14-05:00,basic-frontend-1,0.00%,10.6MiB / 7.659GiB,0.14%,2.53kB / 1.06kB,6.92MB / 4.1kB,13
2026-01-04T00:44:14-05:00,basic-backend-1,0.00%,26.9MiB / 7.659GiB,0.34%,2.52kB / 769B,54.6MB / 4.1kB,23
2026-01-04T00:44:14-05:00,basic-kernel-1,0.10%,45.82MiB / 7.659GiB,0.58%,2.69kB / 627B,47.3MB / 0B,17
2026-01-04T00:45:17-05:00,basic-frontend-1,0.00%,10.6MiB / 7.659GiB,0.14%,2.53kB / 1.06kB,6.92MB / 4.1kB,13
2026-01-04T00:45:17-05:00,basic-backend-1,0.01%,26.91MiB / 7.659GiB,0.34%,2.52kB / 769B,54.6MB / 4.1kB,23
2026-01-04T00:45:17-05:00,basic-kernel-1,0.13%,45.82MiB / 7.659GiB,0.58%,2.69kB / 627B,47.3MB / 0B,17
2026-01-04T00:46:20-05:00,basic-frontend-1,0.00%,10.6MiB / 7.659GiB,0.14%,2.53kB / 1.06kB,6.92MB / 4.1kB,13
2026-01-04T00:46:20-05:00,basic-backend-1,0.00%,26.91MiB / 7.659GiB,0.34%,2.52kB / 769B,54.6MB / 4.1kB,23
2026-01-04T00:46:20-05:00,basic-kernel-1,0.09%,45.82MiB / 7.659GiB,0.58%,2.69kB / 627B,47.3MB / 0B,17
2026-01-04T00:47:22-05:00,basic-frontend-1,0.00%,10.6MiB / 7.659GiB,0.14%,2.53kB / 1.06kB,6.92MB / 4.1kB,13
2026-01-04T00:47:22-05:00,basic-backend-1,0.00%,26.91MiB / 7.659GiB,0.34%,2.52kB / 769B,54.6MB / 4.1kB,23
2026-01-04T00:47:22-05:00,basic-kernel-1,0.09%,45.82MiB / 7.659GiB,0.58%,2.69kB / 627B,47.3MB / 0B,17
